Momentum Range (GeV/c),Median Momentum (GeV/c),Number of Particles Observed,Differential Intensity (cm^2 s sr GeV/c)^-1,Statistical Error (+%),Statistical Error (-%)
4.85-6.64,5.66,1643,3.83e-4,2.5,2.5
6.64-7.81,7.20,2627,2.42e-4,2.0,2.0
7.81-8.94,8.35,2633,1.92e-4,2.0,2.0
8.94-10.6,9.71,3318,1.40e-4,1.7,1.7
10.6-13.1,11.8,3989,9.43e-5,1.6,1.6
13.1-15.1,14.0,2121,6.38e-5,2.2,2.2
15.1-17.8,16.4,2050,4.21e-5,2.2,2.2
17.8-21.9,19.7,2064,2.72e-5,2.2,2.2
21.9-26.9,24.2,1555,1.41e-5,2.5,2.5
26.9-32.7,29.6,1134,1.01e-5,3.0,3.0
32.7-42.1,37.1,980,5.40e-6,3.2,3.2
42.1-52.3,46.9,589,2.99e-6,4.2,4.2
52.3-69.2,60.0,476,1.45e-6,4.6,4.6
69.2-103,84.0,367,5.58e-7,5.1,5.1
103-136,118,131,2.04e-7,8.6,8.6
136-205,167,84,6.09e-8,10,10
205-339,260,52,1.96e-8,13,13
339-678,467,18,2.69e-9,29,23
> 678,1109,11,1.03e-10,39,30